final_filename,category,source,license,attribution_required
guyana.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
jamaica.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
trinidad.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
barbados.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
ghana.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
kenya.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
nigeria.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
southafrica.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
indo-caribbean.jpg,country-hero,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
parliament.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
oil-rig.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
cricket.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
football.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
airport.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
street-market.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
tropical-beach.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
money.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
construction.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
police.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
school.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
hurricane.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
mango-tree.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
reggae.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
carnival.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
newspaper-press.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
press-conference.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
ballot-box.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
courthouse.jpg,topic-default,Pexels,Free for commercial use,Yes - see _PHOTO_CREDITS.txt
guyana/kaieteur-falls.jpg,Wikimedia Commons,Kaieteur Falls,Allan Hopkins,CC BY-ND 2.0,https://commons.wikimedia.org/wiki/File:Kaieteur_Falls_-_Guyana.jpg
guyana/demerara-bridge-aerial.jpg,Wikimedia Commons,Demerara Harbour Bridge,Dan Lundberg,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:20191122_Guyana_0171_Georgetown_sRGB_(49295935467).jpg
guyana/cuffy-1763-monument.jpg,Wikimedia Commons,1763 Monument (Cuffy),Spiralwidget,CC0,https://commons.wikimedia.org/wiki/File:1763_Monument.jpg
guyana/stabroek-market.jpg,Wikimedia Commons,Stabroek Market clock tower,Roundtheworld,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Stabroek.JPG
guyana/georgetown-seawall.jpg,Wikimedia Commons,Georgetown Seawall,David Stanley,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Georgetown_Seawall_(13930073174).jpg
guyana/promenade-bandstand.jpg,Wikimedia Commons,Botanical Gardens / Bandstand Georgetown,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Guyana_Botanical_Gardens_-_Georgetown_(23625575976).jpg
guyana/georgetown-city-hall.jpg,Wikimedia Commons,Georgetown City Hall,Andrew Moore,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Georgetown_City_Hall_-_Guyana.jpg
guyana/georgetown-lighthouse.jpg,Wikimedia Commons,Georgetown Lighthouse,John+Elaine,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Georgetown-Lighthouse.jpg
guyana/iwokrama-river.jpg,Wikimedia Commons,Iwokrama Rainforest,M M from Switzerland,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Iwokrama_Rainforest,_Guyana_(12179378186).jpg
guyana/rupununi-savannah.jpg,Wikimedia Commons,Rupununi Savannah,Treez44est,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Rupununi_Savannah.jpg
guyana/shell-beach.jpg,Wikimedia Commons,Speed boat on Shell Beach,Marco Farouk Basir,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:A_speed_boat_on_the_Shell_Beach_-_panoramio.jpg
guyana/linden-bauxite.jpg,Wikimedia Commons,Linden bauxite plant,Jane Peters,CC0,https://commons.wikimedia.org/wiki/File:Linden_bauxite_plant.jpg
guyana/gold-mining-aerial.jpg,Wikimedia Commons,Gold mining near Mahdia,Marco Farouk Basir,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Gold_Mining_near_Mahdia_-_panoramio.jpg
guyana/mashramani-parade.jpg,Wikimedia Commons,Mashramani parade Guyana 2007,King sheik,Public domain,https://commons.wikimedia.org/wiki/File:Mashramani-in-Guyana-2007-by-GuyaneseTavern.jpg
guyana/new-amsterdam-street.jpg,Wikimedia Commons,Street in central New Amsterdam Guyana,Ian Mackenzie,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Street_in_central_New_Amsterdam,_Guyana.jpg
guyana/essequibo-ferry.jpg,Wikimedia Commons,Pontoon Crossing at Mango Landing Essequibo River,Nick Taylor,Public domain,https://commons.wikimedia.org/wiki/File:Pontoon_Crossing_at_Mango_Landing_Essequibo_River.jpg
guyana/providence-stadium.jpg,Wikimedia Commons,Guyana National Stadium (Providence) from air,Marco Farouk Basir,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Guyana_National_Stadium_from_Air_-_panoramio.jpg
